S.No.,Name,Market Cap,Current Price,High/Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value
43,531668,4.01,2.01,4.91/1.41,200,11.5,0.00,0.17,0.17,10.0
44,500206,11.7,25.6,35.6/20.5,,151,0.00,-0.23,-0.73,10.0
45,530127,9.19,15.4,18.0/11.8,41.8,89.3,0.00,0.64,-0.09,10.0
46,514264,5.80,7.75,15.6/6.75,,46.7,0.00,3.05,-1.18,10.0
47,KJMCFIN,13.2,27.5,38.0/21.0,59.8,165,0.00,0.96,-0.65,10.0
48,UNITECH,523,2.00,4.02/1.58,,11.6,0.00,-1.05,-34.8,2.00
49,ZUARIIND,439,147,217/123,2.25,884,2.04,3.75,-2.92,10.0
50,LYPSAGEMS,18.1,6.15,9.95/4.40,259,36.4,0.00,-0.09,-0.09,10.0
51,MCLEODRUSS,296,28.3,41.4/18.0,,166,0.00,0.07,-10.4,5.00
52,532723,14.1,19.0,25.4/11.5,,113,0.00,-3.19,-5.55,10.0
53,543678,39.6,42.1,42.1/39.3,33.2,241,0.00,20.9,38.2,10.0
54,ATVPETRO,49.2,3.02,10.6/2.76,,16.7,0.00,-0.59,-0.97,10.0
55,532855,35.0,67.2,80.0/41.0,24.6,380,0.00,1.23,0.92,10.0
56,506122,4.75,119,119/45.9,79.2,643,0.00,0.00,-0.18,10.0
57,BARTRONICS,14.5,4.25,11.0/3.25,,23.9,0.00,0.13,-62.8,10.0
58,NSIL,"1,229","2,391","2,788/1,228",13.0,"12,986",0.00,1.22,1.01,10.0
59,PRAENG,100,14.3,26.0/12.5,,80.4,0.00,0.43,-0.43,10.0
60,SILINV,350,330,444/250,13.0,"1,845",0.76,2.31,1.82,10.0
61,512229,396,148,176/80.2,5.11,835,0.03,5.27,5.13,1.00
62,524480,269,377,519/310,,"2,134",0.27,2.33,0.14,10.0
63,TREJHARA,93.1,78.8,129/47.4,7.51,431,0.63,3.20,2.44,10.0
64,SUULD,251,44.8,175/31.0,0.53,248,1.12,88.5,120,10.0
65,506027,2.64,0.48,1.89/0.48,,2.56,0.00,-1.05,-1.31,10.0
66,ANSALHSG,22.3,3.75,14.0/3.73,,19.8,0.00,4.19,-16.0,10.0
67,JINDALPHOT,356,347,428/175,2.23,"1,842",0.00,64.7,64.3,10.0
68,532304,10.6,27.0,45.0/19.6,,145,0.00,1.09,0.28,10.0
69,VLSFINANCE,529,137,241/115,6.89,737,1.10,7.78,7.79,10.0
70,PALASHSECU,96.4,96.4,127/68.5,,507,0.00,-2.44,-2.07,10.0
71,503691,33.7,15.6,33.7/15.6,,81.8,0.00,-2.61,-2.19,10.0
